"FL_DATE","OP_UNIQUE_CARRIER","OP_CARRIER_AIRLINE_ID","OP_CARRIER_FL_NUM","ORIGIN_AIRPORT_ID","ORIGIN_AIRPORT_SEQ_ID","ORIGIN_CITY_MARKET_ID","ORIGIN","DEST_AIRPORT_ID","DEST_AIRPORT_SEQ_ID","DEST_CITY_MARKET_ID","DEST","CRS_DEP_TIME","DEP_TIME","DEP_DELAY","TAXI_OUT","WHEELS_OFF","WHEELS_ON","TAXI_IN","CRS_ARR_TIME","ARR_TIME","ARR_DELAY","CANCELLED","CANCELLATION_CODE","DIVERTED","DISTANCE",
2019-01-11,"HA",19690,"64",12982,1298202,32982,"LIH",12892,1289208,32575,"LAX","1420","1425",5.00,20.00,"1445","2158",7.00,"2140","2205",25.00,0.00,"",0.00,2615.00,
2019-01-11,"B6",20409,"168",13796,1379608,32457,"OAK",12478,1247805,31703,"JFK","2350","2343",-7.00,10.00,"2353","0755",13.00,"0812","0808",-4.00,0.00,"",0.00,2576.00,
2019-01-12,"WN",19393,"2385",14679,1467903,33570,"SAN",11292,1129202,30325,"DEN","1555","1553",-2.00,11.00,"1604","1851",6.00,"1910","1857",-13.00,0.00,"",0.00,853.00,
2019-01-12,"OO",20304,"5464",14489,1448902,34489,"RDM",14771,1477104,32457,"SFO","0607","1217",370.00,18.00,"1235","1349",4.00,"0755","1353",358.00,0.00,"",0.00,462.00,
2019-01-12,"OO",20304,"3094",12892,1289208,32575,"LAX",11638,1163807,31638,"FAT","1957","1943",-14.00,26.00,"2009","2047",4.00,"2103","2051",-12.00,0.00,"",0.00,209.00,
2019-01-13,"OO",20304,"3068",14107,1410702,30466,"PHX",14262,1426204,34262,"PSP","1435","1514",39.00,20.00,"1534","1519",4.00,"1447","1523",36.00,0.00,"",0.00,261.00,
2019-01-13,"UA",19977,"816",14771,1477104,32457,"SFO",12892,1289208,32575,"LAX","1800","1752",-8.00,24.00,"1816","1919",12.00,"1942","1931",-11.00,0.00,"",0.00,337.00,
2019-01-13,"WN",19393,"4636",14107,1410702,30466,"PHX",10800,1080003,32575,"BUR","1635","1635",0.00,14.00,"1649","1658",1.00,"1705","1659",-6.00,0.00,"",0.00,369.00,
2019-01-14,"WN",19393,"1448",11292,1129202,30325,"DEN",14679,1467903,33570,"SAN","0830","0827",-3.00,10.00,"0837","0946",3.00,"1005","0949",-16.00,0.00,"",0.00,853.00,
2019-01-14,"B6",20409,"90",14679,1467903,33570,"SAN",12478,1247805,31703,"JFK","2049","2052",3.00,26.00,"2118","0448",8.00,"0455","0456",1.00,0.00,"",0.00,2446.00,
2019-01-14,"OO",20304,"5453",12892,1289208,32575,"LAX",10372,1037205,30372,"ASE","1850","1849",-1.00,35.00,"1924","2204",2.00,"2159","2206",7.00,0.00,"",0.00,737.00,
